id,province,district,property_type,bedrooms,baths,floor_area,nearby_stations,nearby_station_distance,nearby_supermarkets,nearby_shops,facilities,price,station_name,station_distance,total_facilities
10540762,Bangkok,Watthana,Condo,1.0,1.0,44,0,,18.0,20,"['Car Park', 'Covered car park', 'CCTV', 'Fitness corner', 'Library', 'Lift lobby', 'Putting Green', '24 hours security', 'Swimming pool']",6300000,-,0,9
10980009,Bangkok,Bang Rak,Condo,1.0,1.0,52,1,"[['BL27 Sam Yan MRT', 830]]",13.0,20,"['Car Park', 'CCTV', 'Fitness corner', 'Jacuzzi', 'Meeting room', 'Sauna', '24 hours security', 'Sky Lounge', 'Swimming pool', 'Wading pool']",5950000,Sam Yan MRT,830,10
9855083,Bangkok,Huai Khwang,Condo,2.0,1.0,60,1,"[['BL18 Huai Khwang MRT', 340]]",20.0,20,"['Covered car park', 'CCTV', 'Fitness corner', '24 hours security', 'Swimming pool']",3890000,Huai Khwang MRT,340,5
9840544,Bangkok,Bangkok Yai,Condo,1.0,1.0,28,3,"[['BL01 Tha Phra MRT', 810], ['BL02 Charan 13 MRT', 940], ['BL33 Bang Phai MRT', 950]]",3.0,1,"['Car Park', 'Covered car park', 'CCTV', 'Fitness corner', 'Gymnasium room', 'Lift lobby', 'Lounge', 'Open car park', '24 hours security', 'Swimming pool']",1590000,Tha Phra MRT,810,10
10724511,Nonthaburi,Pak Kret,Condo,1.0,1.0,34,0,,7.0,10,"['Car Park', 'CCTV', 'Fitness corner', 'Gymnasium room', 'Jogging track', 'Lift lobby', '24 hours security', 'Swimming pool']",2100000,-,0,8
11010958,Bangkok,Bueng Kum,Condo,1.0,1.0,39,0,,8.0,20,"['Car Park', 'CCTV', 'Gymnasium room', 'Lift lobby', '24 hours security', 'Swimming pool']",2700000,-,0,6
10818702,Bangkok,Bueng Kum,Condo,1.0,1.0,26,0,,7.0,10,"['Covered car park', 'Club', 'Clubhouse', 'CCTV', 'Fitness corner', 'Pavillion', '24 hours security', 'Swimming pool']",1860000,-,0,8
10848712,Bangkok,Watthana,Condo,2.0,1.0,119,0,,12.0,13,"['Car Park', 'CCTV', 'Gymnasium room', 'Lift lobby', '24 hours security', 'Swimming pool']",7200000,-,0,6
10986761,Bangkok,Bang Kapi,Condo,2.0,2.0,55,0,,15.0,6,"['Covered car park', 'CCTV', '24 hours security']",2790000,-,0,3
10975031,Nonthaburi,Bang Kruai,Detached House,3.0,3.0,179,0,,7.0,8,[],8580000,-,0,0
10114191,Bangkok,Watthana,Condo,1.0,1.0,43,2,"[['E7 Ekkamai BTS', 410], ['E6 Thong Lo BTS', 590]]",19.0,20,"['Car Park', 'CCTV', 'Fitness corner', 'Function room', 'Gymnasium room', 'Lift lobby', '24 hours security', 'Swimming pool']",6200000,Ekkamai BTS,410,8
10716249,Bangkok,Sai Mai,Townhouse,3.0,2.0,72,0,,8.0,4,"['Community Garden', 'CCTV', '24 hours security']",2500000,-,0,3
10620204,Bangkok,Khlong Toei,Condo,2.0,1.0,47,2,"[['E8 Phra Khanong BTS', 550], ['E9 On Nut BTS', 980]]",20.0,17,"['Covered car park', 'CCTV', 'Fitness corner', 'Pool Deck', 'Roof Terrace', 'Sauna', '24 hours security', 'Swimming pool']",5700000,Phra Khanong BTS,550,8
11028835,Nonthaburi,Mueang Nonthaburi,Detached House,3.0,3.0,160,1,"[['PP09 Yaek Nonthaburi 1 MRT', 20]]",6.0,15,[],7890000,Yaek Nonthaburi 1 MRT,20,0
10891387,Bangkok,Nong Khaem,Detached House,2.0,2.0,120,0,,11.0,4,[],3708000,-,0,0
10675303,Samut Prakan,Mueang Samut Prakan,Condo,1.0,1.0,32,1,"[['E14 Bearing BTS', 460]]",7.0,20,"['BBQ pits', 'Car Park', 'Covered car park', 'Clubhouse', 'CCTV', 'Fitness corner', 'Function room', 'Gymnasium room', 'Jogging track', 'Library', 'Lift lobby', 'Multi-purpose hall', 'Open car park', '24 hours security', 'Sky Lounge', 'Swimming pool', 'Wading pool']",2100000,Bearing BTS,460,17
10901106,Samut Prakan,Bang Phli,Townhouse,3.0,2.0,230,0,,7.0,1,"['CCTV', '24 hours security']",4590000,-,0,2
10880059,Bangkok,Khan Na Yao,Condo,1.0,1.0,22,0,,19.0,13,"['Car Park', 'Covered car park', 'CCTV', 'Gymnasium room', 'Launderette', 'Lift lobby', 'Mini-Mart', 'Playground', '24 hours security', 'Swimming pool']",990000,-,0,10
10869807,Nonthaburi,Mueang Nonthaburi,Condo,1.0,1.0,35,0,,5.0,3,"['Basketball court', 'Covered car park', 'Fitness corner', 'Library', 'Swimming pool']",1490000,-,0,5
10753754,Samut Prakan,Phra Samut Jadee,Townhouse,3.0,3.0,139,0,,9.0,3,"['Car Park', 'Covered car park', 'Mini-Mart', 'Multi-Storey Car Park', 'Open car park', 'Playground', '24 hours security']",2200000,-,0,7
10818097,Nonthaburi,Bang Bua Thong,Condo,1.0,1.0,23,1,"[['PP01 Khlong Bang Phai MRT', 370]]",9.0,13,"['Covered car park', 'Community Garden', 'CCTV', 'Fitness corner', 'Library', '24 hours security', 'Swimming pool']",1100999,Khlong Bang Phai MRT,370,7
10147102,Samut Prakan,Bang Phli,Townhouse,3.0,4.0,190,0,,4.0,6,"['Clubhouse', 'Community Garden', 'CCTV', 'Fitness corner', '24 hours security', 'Swimming pool']",8800000,-,0,6
10525811,Nonthaburi,Bang Yai,Detached House,6.0,5.0,222,1,"[['PP11 Nonthaburi Civic Center MRT', 290]]",6.0,12,[],8700000,Nonthaburi Civic Center MRT,290,0
10988559,Bangkok,Watthana,Condo,1.0,1.0,33,0,,18.0,20,"['Adult Fitness Stations', 'Aircon Facilities', 'Billiards room', 'Cafes', 'Car Park', 'Covered car park', 'Clubhouse', 'Community Garden', 'CCTV', 'Driving range', 'Eateries', 'Fitness corner', 'Game room', 'Jacuzzi', 'Jogging track', 'Karaoke', 'Lap pool', 'Lift lobby', 'Lounge', 'Main entrance', 'Meeting room', 'Mini-Mart', 'Multi-Storey Car Park', 'Open car park', 'Pantry', 'Sauna', '24 hours security', 'Sky Lounge', 'Spa pool', 'Steam bath', 'Swimming pool']",9070000,-,0,31
10094960,Bangkok,Pathum Wan,Condo,1.0,1.0,33,2,"[['E3 Nana BTS', 710], ['E2 Ploen Chit BTS', 840]]",9.0,20,"['Car Park', 'Covered car park', 'CCTV', 'Fitness corner', 'Gymnasium room', 'Jacuzzi', 'Lift lobby', 'Sauna', '24 hours security', 'Steam bath', 'Swimming pool']",5500000,Nana BTS,710,11
10997562,Samut Prakan,Mueang Samut Prakan,Condo,1.0,1.0,28,1,"[['E15 Samrong BTS', 60]]",16.0,20,"['Badminton hall', 'Car Park', 'Community Garden', 'CCTV', 'Fitness corner', 'Lift lobby', 'Mini golf range', 'Multi-purpose hall', '24 hours security', 'Swimming pool']",2800000,Samrong BTS,60,10
10380817,Samut Prakan,Mueang Samut Prakan,Condo,2.0,1.0,48,1,"[['E17 Chang Erawan BTS', 80]]",8.0,4,"['Covered car park', 'CCTV', 'Fitness corner', '24 hours security', 'Swimming pool']",3500000,Chang Erawan BTS,80,5
10762041,Bangkok,Huai Khwang,Condo,2.0,2.0,58,3,"[['BL20 Phra Ram 9 MRT', 390], ['E4 Asok BTS', 920], ['A6 Makkasan Airport Link', 970]]",14.0,20,"['Covered car park', 'Club', 'Clubhouse', 'CCTV', 'Fitness corner', 'Function room', 'Game room', 'Launderette', 'Library', 'Lounge', 'Mini golf range', 'Mini-Mart', 'Multi-purpose hall', 'Pavillion', 'Playground', 'Putting Green', 'Sauna', '24 hours security', 'Sky Lounge', 'Swimming pool', 'Tennis courts']",9478095,Phra Ram 9 MRT,390,21
10887666,Samut Prakan,Mueang Samut Prakan,Townhouse,4.0,3.0,99,0,,9.0,11,"['Community Garden', 'CCTV', '24 hours security']",6950000,-,0,3
10924469,Bangkok,Chatuchak,Condo,1.0,1.0,31,2,"[['N15 Bang Bua BTS', 670], ['N14 Royal Forest Department BTS', 900]]",6.0,3,"['Covered car park', 'Club', 'Clubhouse', 'CCTV', 'Fitness corner', 'Function room', 'Library', 'Lounge', 'Mini-Mart', 'Pavillion', '24 hours security', 'Swimming pool']",2950000,Bang Bua BTS,670,12
10795155,Nonthaburi,Bang Yai,Condo,1.0,1.0,24,2,"[['PP03 Sam Yaek Bang Yai MRT', 650], ['PP02 Talad Bang Yai MRT', 760]]",20.0,20,"['Covered car park', 'Community Garden', 'CCTV', 'Fitness corner', 'Game room', 'Sauna', '24 hours security', 'Swimming pool']",2500000,Sam Yaek Bang Yai MRT,650,8
8730546,Bangkok,Phaya Thai,Condo,1.0,1.0,45,2,"[['N6 Sena Ruam BTS', 300], ['N7 Saphan Kwai BTS', 700]]",14.0,20,"['Car Park', 'Community Garden', 'CCTV', 'Fitness corner', 'Lift lobby', 'Sauna', '24 hours security', 'Swimming pool']",5400000,Sena Ruam BTS,300,8
10824290,Bangkok,Chatuchak,Condo,1.0,1.0,25,2,"[['N13 Kasetsart University BTS', 530], ['N14 Royal Forest Department BTS', 550]]",7.0,4,"['Community Garden', 'CCTV', 'Fitness corner', '24 hours security', 'Swimming pool']",2300000,Kasetsart University BTS,530,5
11004680,Samut Prakan,Bang Sao Thong,Townhouse,3.0,2.0,70,0,,2.0,2,['24 hours security'],1890000,-,0,1
9593755,Bangkok,Phaya Thai,Condo,2.0,1.0,52,3,"[['N7 Saphan Kwai BTS', 480], ['N6 Sena Ruam BTS', 480], ['BL12 Kamphaeng Phet MRT', 840]]",14.0,20,"['BBQ pits', 'Covered car park', 'Clubhouse', 'CCTV', 'Fitness corner', 'Function room', 'Game room', 'Gymnasium room', 'Jacuzzi', 'Launderette', 'Library', 'Lounge', 'Multi-purpose hall', 'Open car park', 'Playground', 'Reflexology Path', 'Sauna', '24 hours security', 'Sky Lounge', 'Swimming pool', 'Wading pool']",8700000,Saphan Kwai BTS,480,21
10737573,Bangkok,Saphan Sung,Townhouse,3.0,4.0,88,0,,4.0,3,"['Covered car park', 'Playground', '24 hours security', 'Swimming pool']",3800000,-,0,4
10854825,Bangkok,Sai Mai,Townhouse,3.0,2.0,95,0,,6.0,6,['24 hours security'],3200000,-,0,1
10988933,Nonthaburi,Bang Kruai,Townhouse,3.0,2.0,130,0,,8.0,2,"['Covered car park', '24 hours security']",4000000,-,0,2
7532081,Nonthaburi,Pak Kret,Condo,1.0,1.0,26,0,,6.0,8,"['Car Park', 'CCTV', 'Gymnasium room', 'Mini-Mart', '24 hours security', 'Swimming pool']",1800000,-,0,6
10715206,Bangkok,Din Daeng,Condo,1.0,1.0,34,3,"[['BL20 Phra Ram 9 MRT', 590], ['A6 Makkasan Airport Link', 690], ['E4 Asok BTS', 930]]",8.0,19,"['Car Park', 'Covered car park', 'CCTV', 'Fitness corner', 'Gymnasium room', 'Lift lobby', 'Sauna', '24 hours security', 'Steam bath', 'Swimming pool']",4150000,Phra Ram 9 MRT,590,10
11008107,Bangkok,Don Mueang,Townhouse,2.0,2.0,80,0,,4.0,1,[],1850000,-,0,0
10798751,Bangkok,Nong Khaem,Townhouse,3.0,2.0,120,0,,4.0,3,"['Car Park', '24 hours security']",1890000,-,0,2
10939185,Bangkok,Don Mueang,Detached House,3.0,3.0,185,0,,6.0,1,"['Covered car park', '24 hours security']",6490000,-,0,2
10981364,Bangkok,Ratchathewi,Condo,1.0,1.0,47,3,"[['E1 Chit Lom BTS', 590], ['A7 Ratchaprarop Airport Link', 670], ['E2 Ploen Chit BTS', 860]]",17.0,20,"['Covered car park', 'CCTV', 'Fitness corner', 'Lap pool', 'Sauna', '24 hours security', 'Steam bath', 'Swimming pool']",7290000,Chit Lom BTS,590,8
11028683,Bangkok,Suan Luang,Condo,1.0,1.0,32,1,"[['A4 Hua Mak Airport Link', 680]]",5.0,3,"['Covered car park', 'CCTV', 'Fitness corner', 'Playground', '24 hours security', 'Swimming pool']",1390000,Hua Mak,680,6
10627343,Nonthaburi,Pak Kret,Condo,1.0,1.0,34,0,,6.0,8,"['Car Park', 'CCTV', 'Gymnasium room', 'Mini-Mart', '24 hours security', 'Swimming pool']",2290000,-,0,6
11047700,Nonthaburi,Bang Bua Thong,Detached House,5.0,2.0,100,0,,4.0,2,"['Community Garden', 'Playground', 'Swimming pool']",2890000,-,0,3
11008562,Bangkok,Watthana,Condo,1.0,1.0,47,2,"[['E7 Ekkamai BTS', 270], ['E6 Thong Lo BTS', 800]]",16.0,20,"['Car Park', 'Community Garden', 'CCTV', 'Fitness corner', '24 hours security', 'Swimming pool']",5600000,Ekkamai BTS,270,6
10848813,Bangkok,Chatuchak,Condo,1.0,1.0,25,2,"[['N15 Bang Bua BTS', 670], ['N14 Royal Forest Department BTS', 900]]",6.0,3,"['Covered car park', 'Club', 'Clubhouse', 'CCTV', 'Fitness corner', 'Function room', 'Library', 'Lounge', 'Mini-Mart', 'Pavillion', '24 hours security', 'Swimming pool']",2880000,Bang Bua BTS,670,12
11023206,Bangkok,Watthana,Condo,1.0,1.0,44,1,"[['E9 On Nut BTS', 110]]",7.0,13,"['Covered car park', 'CCTV', 'Fitness corner', '24 hours security', 'Swimming pool']",6000000,On Nut BTS,110,5
10997542,Bangkok,Phra Khanong,Condo,1.0,1.0,35,2,"[['E10 Bang Chak BTS', 260], ['E11 Punnawithi BTS', 940]]",6.0,9,"['CCTV', 'Fitness corner', '24 hours security', 'Swimming pool']",2060000,Bang Chak BTS,260,4
11031554,Bangkok,Thon Buri,Condo,2.0,2.0,77,3,"[['S9 Pho Nimit BTS', 300], ['B12 Ratchaphruek BRT', 530], ['S10 Talat Phlu BTS', 880]]",9.0,20,"['Car Park', 'Community Garden', 'CCTV', 'Fitness corner', 'Gymnasium room', 'Lift lobby', '24 hours security', 'Swimming pool']",6450000,Pho Nimit BTS,300,8
9532011,Nonthaburi,Mueang Nonthaburi,Condo,1.0,1.0,28,1,"[['PP12 Ministry of Public Health MRT', 230]]",6.0,9,"['CCTV', '24 hours security']",1550000,Ministry of Public Health MRT,230,2
10477860,Bangkok,Huai Khwang,Condo,1.0,1.0,26,2,"[['BL19 Thailand Cultural Centre MRT', 220], ['BL20 Phra Ram 9 MRT', 830]]",16.0,20,"['Covered car park', 'CCTV', 'Fitness corner', 'Launderette', 'Open car park', 'Playground', '24 hours security', 'Spa pool', 'Swimming pool']",3990000,Thailand Cultural Centre MRT,220,9
10883610,Bangkok,Bang Phlat,Condo,1.0,1.0,25,1,"[['BL06 Sirindhorn MRT', 50]]",13.0,11,"['BBQ pits', 'Car Park', 'CCTV', 'Fitness corner', 'Library', 'Lift lobby', 'Mini-Mart', 'Playground', 'Roof Terrace', 'Sauna', '24 hours security', 'Steam bath', 'Swimming pool']",2490000,Sirindhorn MRT,50,13
8682535,Bangkok,Khlong Toei,Condo,2.0,2.0,54,2,"[['E8 Phra Khanong BTS', 550], ['E9 On Nut BTS', 990]]",17.0,18,"['Car Park', 'Covered car park', 'CCTV', 'Fitness corner', 'Reflexology Path', '24 hours security', 'Swimming pool']",5200000,Phra Khanong BTS,550,7
11028656,Bangkok,Watthana,Condo,1.0,1.0,36,2,"[['E6 Thong Lo BTS', 430], ['E7 Ekkamai BTS', 650]]",16.0,20,"['Covered car park', 'CCTV', 'Fitness corner', '24 hours security', 'Swimming pool']",3700000,Thong Lo BTS,430,5
10659807,Bangkok,Min Buri,Detached House,3.0,3.0,220,0,,0.0,3,"['Covered car park', 'Clubhouse', 'Jacuzzi', 'Playground', '24 hours security', 'Swimming pool']",6200000,-,0,6
10829062,Nonthaburi,Mueang Nonthaburi,Condo,1.0,1.0,31,1,"[['PP09 Yaek Nonthaburi 1 MRT', 620]]",9.0,13,"['Covered car park', 'CCTV', 'Fitness corner', '24 hours security', 'Swimming pool']",1500000,Yaek Nonthaburi 1 MRT,620,5
10906044,Nonthaburi,Mueang Nonthaburi,Condo,1.0,1.0,26,2,"[['PP10 Bang Krasor MRT', 260], ['PP09 Yaek Nonthaburi 1 MRT', 980]]",16.0,11,"['Covered car park', 'Clubhouse', 'CCTV', 'Fitness corner', 'Launderette', 'Playground', '24 hours security', 'Swimming pool']",1500000,Bang Krasor MRT,260,8
11002007,Bangkok,Lak Si,Townhouse,3.0,3.0,160,0,,3.0,6,[],3990000,-,0,0
10385575,Bangkok,Khlong Sam Wa,Townhouse,3.0,2.0,96,0,,2.0,3,"['Clubhouse', 'Fitness corner', 'Mini-Mart', 'Playground', '24 hours security', 'Swimming pool']",2490000,-,0,6
11033066,Nonthaburi,Bang Kruai,Townhouse,3.0,2.0,110,0,,4.0,5,"['Community Garden', 'CCTV', '24 hours security']",2490000,-,0,3
10989171,Bangkok,Khlong Toei,Condo,1.0,1.0,28,2,"[['E5 Phrom Phong BTS', 650], ['BL23 Queen Sirikit National Convention Centre MRT', 770]]",20.0,20,"['Car Park', 'Clubhouse', 'Community Garden', 'CCTV', 'Fitness corner', '24 hours security', 'Swimming pool']",6400000,Phrom Phong BTS,650,7
10625896,Nonthaburi,Bang Bua Thong,Townhouse,2.0,2.0,110,0,,4.0,3,"['Covered car park', 'Clubhouse', 'CCTV', 'Fitness corner', 'Playground', '24 hours security', 'Swimming pool']",2150000,-,0,7
11037422,Nonthaburi,Mueang Nonthaburi,Condo,1.0,1.0,31,2,"[['PP10 Bang Krasor MRT', 480], ['PP11 Nonthaburi Civic Center MRT', 490]]",9.0,8,"['Covered car park', 'CCTV', 'Fitness corner', 'Open car park', '24 hours security', 'Swimming pool']",1950000,Bang Krasor MRT,480,6
11033583,Bangkok,Yan Nawa,Detached House,3.0,3.0,109,1,"[['B5 Nararam 3 BRT', 710]]",12.0,20,[],8100000,Nararam 3,710,0
10976441,Bangkok,Khlong Toei,Condo,2.0,1.0,51,2,"[['E8 Phra Khanong BTS', 30], ['E7 Ekkamai BTS', 790]]",19.0,20,"['Covered car park', 'CCTV', 'Fitness corner', 'Sauna', '24 hours security', 'Swimming pool']",7500000,Phra Khanong BTS,30,6
10889989,Nonthaburi,Bang Bua Thong,Condo,1.0,1.0,37,2,"[['PP11 Nonthaburi Civic Center MRT', 370], ['PP12 Ministry of Public Health MRT', 950]]",11.0,13,"['Car Park', 'Covered car park', 'CCTV', 'Fitness corner', 'Multi-purpose hall', '24 hours security', 'Swimming pool']",2850000,Nonthaburi Civic Center MRT,370,7
10554595,Nonthaburi,Pak Kret,Detached House,4.0,3.0,180,0,,6.0,6,"['CCTV', 'Playground', '24 hours security', 'Swimming pool']",5500000,-,0,4
10936239,Nonthaburi,Sai Noi,Townhouse,3.0,2.0,118,0,,3.0,3,"['Clubhouse', 'Community Garden', 'CCTV', 'Fitness corner', 'Jogging track', 'Playground', '24 hours security']",2350000,-,0,7
8757349,Nonthaburi,Bang Yai,Condo,1.0,1.0,26,2,"[['PP03 Sam Yaek Bang Yai MRT', 670], ['PP02 Talad Bang Yai MRT', 670]]",20.0,20,"['Covered car park', 'CCTV', 'Fitness corner', 'Open car park', 'Pool Deck', 'Sauna', '24 hours security', 'Spa pool', 'Steam bath', 'Swimming pool', 'Wading pool']",1800000,Sam Yaek Bang Yai MRT,670,11
10884527,Samut Prakan,Bang Phli,Detached House,3.0,3.0,153,0,,12.0,10,"['Car Park', 'Clubhouse', 'Community Garden', 'Community Plaza', 'CCTV', 'Fitness corner', 'Jogging track', 'Mini-Mart', 'Sauna', '24 hours security', 'Steam bath', 'Swimming pool']",6940000,-,0,12
10872664,Bangkok,Khlong Toei,Condo,1.0,1.0,28,2,"[['E8 Phra Khanong BTS', 550], ['E9 On Nut BTS', 990]]",17.0,18,"['Car Park', 'Covered car park', 'CCTV', 'Fitness corner', 'Reflexology Path', '24 hours security', 'Swimming pool']",2000000,Phra Khanong BTS,550,7
11028495,Bangkok,Phaya Thai,Condo,2.0,1.0,45,3,"[['N5 Ari BTS', 160], ['N4 Sanam Pao BTS', 650], ['N6 Sena Ruam BTS', 980]]",9.0,14,"['Basement car park', 'Covered car park', 'Club', 'Clubhouse', 'CCTV', 'Fitness corner', 'Game room', 'Launderette', 'Library', 'Pavillion', '24 hours security', 'Sky Lounge', 'Swimming pool']",9900000,Ari BTS,160,13
10917428,Bangkok,Ratchathewi,Condo,2.0,2.0,60,3,"[['A8 Phaya Thai Airport Link', 240], ['N2 Phaya Thai BTS', 260], ['N1 Ratchathewi BTS', 430]]",20.0,20,"['Car Park', 'CCTV', 'Gymnasium room', 'Lift lobby', '24 hours security', 'Swimming pool']",5360000,Phaya Thai,240,6
10714759,Nonthaburi,Mueang Nonthaburi,Condo,1.0,1.0,31,2,"[['PP10 Bang Krasor MRT', 460], ['PP11 Nonthaburi Civic Center MRT', 510]]",9.0,8,"['CCTV', 'Fitness corner', 'Mini-Mart', 'Sauna', '24 hours security', 'Swimming pool', 'Wading pool']",1290000,Bang Krasor MRT,460,7
10912708,Bangkok,Bang Kapi,Condo,1.0,1.0,29,0,,7.0,16,"['Car Park', 'Club', 'CCTV', 'Fitness corner', '24 hours security', 'Swimming pool']",1700000,-,0,6
11028189,Samut Prakan,Mueang Samut Prakan,Condo,1.0,1.0,28,0,,8.0,3,"['CCTV', '24 hours security']",1290000,-,0,2
10997376,Bangkok,Bang Na,Condo,1.0,1.0,31,2,"[['E12 Udom Suk BTS', 650], ['E13 Bang Na BTS', 850]]",7.0,5,"['Car Park', 'Community Garden', 'CCTV', 'Fitness corner', 'Gymnasium room', 'Lift lobby', '24 hours security', 'Swimming pool']",1060000,Udom Suk BTS,650,8
10989309,Nonthaburi,Sai Noi,Townhouse,3.0,2.0,100,0,,4.0,2,[],1690000,-,0,0
11032145,Bangkok,Bang Rak,Condo,1.0,1.0,31,3,"[['S3 Chong Nonsi BTS', 480], ['S4 Saint Louis BTS', 600], ['BL27 Sam Yan MRT', 690]]",20.0,20,"['Basement car park', 'Car Park', 'CCTV', 'Fitness corner', 'Gymnasium room', 'Jacuzzi', 'Library', 'Lift lobby', 'Lounge', '24 hours security', 'Steam bath', 'Swimming pool', 'Wading pool']",7000000,Chong Nonsi BTS,480,13
10612114,Bangkok,Khlong Toei,Condo,1.0,1.0,33,2,"[['E6 Thong Lo BTS', 290], ['E7 Ekkamai BTS', 930]]",15.0,20,"['Covered car park', 'Community Garden', 'CCTV', 'Fitness corner', 'Mini-Mart', 'Open car park', 'Sauna', '24 hours security', 'Spa pool', 'Steam bath', 'Swimming pool']",6400000,Thong Lo BTS,290,11
11011222,Bangkok,Bueng Kum,Townhouse,2.0,2.0,100,0,,6.0,6,[],2600000,-,0,0
11033060,Bangkok,Chatuchak,Condo,1.0,1.0,31,1,"[['RN02 SRT Chatuchak', 310]]",2.0,6,"['CCTV', '24 hours security']",1190000,Chatuchak,310,2
8219998,Bangkok,Bang Khen,Condo,1.0,1.0,30,0,,10.0,9,"['Car Park', 'Community Garden', 'CCTV', 'Fitness corner', 'Mini-Mart', '24 hours security', 'Swimming pool']",1390000,-,0,7
